x;mu_x(float);f_x;l_x;d_x;q_x
0;0,00057586;0,00057586;100000;58;0,00057911
1;0,00058279;0,00058246;99942;59;0,00058635
2;0,00059036;0,00058968;99883;59;0,00059426
3;0,00059863;0,00059758;99824;60;0,00060289
4;0,00060765;0,00060621;99764;61;0,00061231
5;0,00061749;0,00061565;99703;62;0,00062259
6;0,00062823;0,00062598;99641;63;0,00063381
7;0,00063996;0,00063726;99578;65;0,00064606
8;0,00065276;0,00064958;99513;65;0,00065942
9;0,00066672;0,00066304;99448;67;0,00067401
10;0,00068197;0,00067775;99381;69;0,00068993
11;0,00069861;0,0006938;99312;70;0,00070731
12;0,00071677;0,00071134;99242;72;0,00072627
13;0,00073659;0,00073048;99170;74;0,00074697
14;0,00075823;0,00075137;99096;77;0,00076956
15;0,00078184;0,00077417;99019;78;0,00079422
16;0,00080761;0,00079906;98941;81;0,00082113
17;0,00083574;0,00082621;98860;85;0,0008505
18;0,00086644;0,00085583;98775;87;0,00088256
19;0,00089994;0,00088814;98688;90;0,00091754
20;0,00093652;0,00092338;98598;94;0,00095573
21;0,00097643;0,00096182;98504;99;0,0009974
22;0,00102;0,00100373;98405;102;0,00104288
23;0,00106754;0,00104942;98303;108;0,00109252
24;0,00111944;0,00109924;98195;112;0,00114669
25;0,00117608;0,00115353;98083;119;0,00120582
26;0,0012379;0,0012127;97964;124;0,00127034
27;0,00130538;0,00127718;97840;131;0,00134076
28;0,00137902;0,00134743;97709;139;0,00141762
29;0,0014594;0,00142394;97570;146;0,0015015
30;0,00154713;0,00150727;97424;155;0,00159304
31;0,00164288;0,001598;97269;165;0,00169293
32;0,00174738;0,00169678;97104;175;0,00180196
33;0,00186144;0,00180428;96929;186;0,00192094
34;0,00198594;0,00192125;96743;199;0,00205078
35;0,00212181;0,00204849;96544;211;0,00219247
36;0,00227011;0,00218686;96333;226;0,0023471
37;0,00243197;0,00233728;96107;242;0,00251584
38;0,00260863;0,00250075;95865;259;0,00269998
39;0,00280144;0,00267834;95606;277;0,00290091
40;0,00301189;0,00287119;95329;298;0,00312018
41;0,00324157;0,0030805;95031;319;0,00335944
42;0,00349226;0,00330759;94712;343;0,00362051
43;0,00376588;0,00355382;94369;369;0,00390537
44;0,00406451;0,00382066;94000;396;0,00421619
45;0,00439045;0,00410964;93604;426;0,00455532
46;0,0047462;0,00442239;93178;459;0,00492533
47;0,00513447;0,00476062;92719;494;0,00532902
